checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-10-14,2026-10-16,2,1,1,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,127.37,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,2,Domus Remo Room #3,guesthouse,4T,9,29,0.45,Camera Matrimoniale con Bagno Privato,140.91,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room-3.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,3,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Deluxe ,142.19,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,4,Affittacamere Tiburstation 2,guesthouse,4T,8.3,71,1,Camera Matrimoniale Classic,143.01,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburstation-2.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:19.809Z
2026-10-14,2026-10-16,2,1,5,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,143.64,no: city tax € 10 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,6,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,7,Home Sweet Home Tiburtina Station,guesthouse,,8.1,194,0.6,Camera Matrimoniale,150.55,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/home-sweet-home-tiburtina-station.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-14,2026-10-16,2,1,8,"Tiburtina Suites, Roma",guesthouse,3T,7.6,93,0.6,Camera Matrimoniale con Balcone,150.55,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburtina-suites.it.html?checkin=2026-10-14&checkout=2026-10-16&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:05.855Z
2026-10-15,2026-10-17,2,1,1,Domus Remo Room #3,guesthouse,4T,9,29,0.45,Camera Matrimoniale con Bagno Privato,140.91,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room-3.it.html?checkin=2026-10-15&checkout=2026-10-17&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:32.100Z
2026-10-15,2026-10-17,2,1,2,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Deluxe ,142.19,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-15&checkout=2026-10-17&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:32.100Z
2026-10-15,2026-10-17,2,1,3,Dolce Titina Affittacamere,guesthouse,,8.6,191,0.2,Camera Singola,145.45,no: city tax € 10 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/dolce-titina-affittacamere.it.html?checkin=2026-10-15&checkout=2026-10-17&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:32.100Z
2026-10-15,2026-10-17,2,1,4,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-15&checkout=2026-10-17&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:32.100Z
2026-10-15,2026-10-17,2,1,5,Home Sweet Home Tiburtina Station,guesthouse,,8.1,194,0.6,Camera Matrimoniale,150.55,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/home-sweet-home-tiburtina-station.it.html?checkin=2026-10-15&checkout=2026-10-17&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:53:32.100Z
