checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-11-13,2026-11-15,2,2,7,"BEDS&ROOMS TIBURTINA- Rooms, Camere private",guesthouse,4T,8.8,106,0.2,Camera Matrimoniale con Bagno Privato,133.27,yes,no,no,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-13,2026-11-15,2,2,8,Unique Stay Tiburtina,B&B,,8.6,121,0.7,Camera Matrimoniale con Bagno in Comune ,134.45,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/unique-stay-tiburtina.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:11.831Z
2026-11-14,2026-11-16,2,2,1,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,109.20,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,2,Days In Rome,guesthouse,4T,8.3,334,1.2,Camera Matrimoniale con Balcone,120.79,no: city tax € 24 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/days-in-rome.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:59.543Z
2026-11-14,2026-11-16,2,2,3,B&B Anturium,B&B,4T,8.6,173,0.5,Camera Matrimoniale con Bagno Privato Esterno ,121.47,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/b-amp-b-anturium.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,4,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,5,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,6,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,7,Quelli della via Gluck,B&B,,8.6,425,0.7,Camera Matrimoniale,127.40,no: city tax € 24 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/quelli-della-via-gluck.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-14,2026-11-16,2,2,8,"Nènè House Roma-Cuore, appartamento in comune",guesthouse,4T,9.1,9,0.9,Camera Matrimoniale con Bagno Privato,133.19,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:24:44.239Z
2026-11-21,2026-11-23,2,2,1,B&B Anturium,B&B,4T,8.6,173,0.5,Camera Matrimoniale con Bagno Privato Esterno ,104.12,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/b-amp-b-anturium.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,2,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,111.69,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,3,"Nènè House Roma-Cuore, appartamento in comune",guesthouse,4T,9.1,9,0.9,Camera Matrimoniale con Bagno Privato,116.64,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,4,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,5,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,6,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,7,"BEDS&ROOMS TIBURTINA- Rooms, Camere private",guesthouse,4T,8.8,106,0.2,Camera Matrimoniale con Bagno Privato,133.27,yes,no,no,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-21,2026-11-23,2,2,8,Unique Stay Tiburtina,B&B,,8.6,121,0.7,Camera Matrimoniale con Bagno in Comune ,134.45,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/unique-stay-tiburtina.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:15.823Z
2026-11-22,2026-11-24,2,2,1,21 Aprile Accommodation,guesthouse,4T,7.9,785,1.4,Camera Matrimoniale Economy,89.34,no: city tax € 24 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/21-aprile-accommodation.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:55.006Z
2026-11-22,2026-11-24,2,2,2,B&B Anturium,B&B,4T,8.6,173,0.5,Camera Matrimoniale con Bagno Privato Esterno ,104.12,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/b-amp-b-anturium.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,3,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,104.24,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,4,"Nènè House Roma-Cuore, appartamento in comune",guesthouse,4T,9.1,9,0.9,Camera Matrimoniale con Bagno Privato,110.86,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,5,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,6,Locanda Miccheletto,guesthouse,,9.2,96,0.9,Camera Matrimoniale Standard,123.76,no: city tax € 28 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/locanda-miccheletto.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,7,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-22,2026-11-24,2,2,8,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:25:47.195Z
2026-11-23,2026-11-25,2,2,1,B&B Anturium,B&B,4T,8.6,173,0.5,Camera Matrimoniale con Bagno Privato Esterno ,104.12,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/b-amp-b-anturium.it.html?checkin=2026-11-23&checkout=2026-11-25&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:26:16.848Z
2026-11-23,2026-11-25,2,2,2,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,104.24,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-23&checkout=2026-11-25&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:26:16.848Z
2026-11-23,2026-11-25,2,2,3,"Nènè House Roma-Cuore, appartamento in comune",guesthouse,4T,9.1,9,0.9,Camera Matrimoniale con Bagno Privato,110.86,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma.it.html?checkin=2026-11-23&checkout=2026-11-25&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:26:16.848Z
2026-11-23,2026-11-25,2,2,4,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-23&checkout=2026-11-25&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:26:16.848Z
